=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_9_digits.csv
Test Dimension (k): 4018 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000219
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 11126.392223
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 14.09 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 135503933       | Original Mean y_bar:  3339.50 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 135507241       | Original Mean y_bar:  3027.65 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 135859729       | Original Mean y_bar:  3855.05 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 136165781       | Original Mean y_bar:  3251.25 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 136179643       | Original Mean y_bar:  1690.25 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 136308383       | Original Mean y_bar:  2623.65 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 136458689       | Original Mean y_bar:  1679.25 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 136598419       | Original Mean y_bar:  2409.80 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 136741369       | Original Mean y_bar:  3695.20 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 137912417       | Original Mean y_bar:  3769.00 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 137945011       | Original Mean y_bar:  2389.45 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 138274573       | Original Mean y_bar:  1029.40 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 138299417       | Original Mean y_bar:  1568.40 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 138863071       | Original Mean y_bar:  2173.40 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 138914773       | Original Mean y_bar:  3223.25 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 139227701       | Original Mean y_bar:  3209.05 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 139257077       | Original Mean y_bar:  1855.40 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
